Date,Additions,Removals,Amendments,Duplicates
2024-02-15,227,-15,622,908
2024-02-26,240,-29,1436,934
2024-03-04,237,-521,859,282
2024-03-11,37,-17,187,280
2024-03-18,25,-2,128,278
2024-03-25,30,-2,18,278
2024-04-01,23,-23,306,284
2024-04-08,41,-32,333,279
2024-04-15,30,-34,205,277
2024-04-22,32,-21,171,275
2024-04-30,61,-24,895,285
2024-05-06,9,-3,41,285
2024-05-13,14,-6,35,280
2024-05-20,26,-4,16,280
2024-05-27,60,0,27,282
2024-06-03,40,-1,42,282
2024-06-10,44,-1,24,284
2024-06-17,32,-2,20,283
2024-06-24,15,0,11,285
2024-07-01,21,-3,10,287
2024-07-08,17,-1,14,287
2024-07-15,27,-1,22,287
2024-09-02,118,-8,420,289
2024-09-09,14,-5,114,288
2024-09-16,17,-2,299,286
2024-09-23,21,-1,72,286
