Date,Start Total,USA Count,USA %,Non-USA Count,Non-USA %,Blank Count,Blank %,End Total,Unchanged USA Count,Unchanged USA %,Unchanged Non-USA Count,Unchanged Non-USA %,Unchanged Blank Count,Unchanged Blank %,Unchanged Total,Additions,Additions USA Count,Additions USA %,Additions Non-USA Count,Additions Non-USA %,Additions Blank Count,Additions Blank %,Additions Total,Removals USA Count,Removals USA %,Removals Non-USA Count,Removals Non-USA %,Removals Blank Count,Removals Blank %,Removals Total,Amendments USA Count,Amendments USA %,Amendments Non-USA Count,Amendments Non-USA %,Amendments Blank Count,Amendments Blank %,Amendments Total,Duplicates USA Count,Duplicates Non-USA Count,Duplicates Blank Count,Duplicates USA %,Duplicates Non-USA %,Duplicates Blank %,Duplicates Total
2024-02-15,8571,7126,81.13400888079244,1643,18.706592280541955,14,0.159398838665604,8783,6385,80.47643055205444,1535,19.347113687925386,14,0.17645576002016636,7934,227,165,72.68722466960352,62,27.312775330396477,0,0.0,227,12,80.0,3,20.0,0,0.0,15,576,92.60450160771704,46,7.395498392282958,0,0.0,622,749,154,5,82.48898678414098,16.96035242290749,0.5506607929515419,908
2024-02-26,8783,7337,81.57660662663999,1643,18.267734044918836,14,0.155659328441183,8994,5723,78.20442743919104,1581,21.60426345996174,14,0.19130910084722602,7318,240,229,95.41666666666667,11,4.583333333333333,0,0.0,240,21,72.41379310344827,8,27.586206896551722,0,0.0,29,1385,96.44846796657382,51,3.5515320334261835,0,0.0,1436,774,155,5,82.86937901498929,16.595289079229122,0.5353319057815845,934
2024-03-04,8994,7092,81.42365097588979,1610,18.484500574052813,8,0.09184845005740529,8710,6083,79.89230365116889,1523,20.002626740215394,8,0.10506960861570791,7614,237,226,95.35864978902954,11,4.641350210970464,0,0.0,237,478,91.74664107485604,38,7.293666026871401,5,0.9596928982725527,521,783,91.1525029103609,76,8.847497089639116,0,0.0,859,176,105,1,62.4113475177305,37.234042553191486,0.3546099290780142,282
2024-03-11,8710,7111,81.45475372279496,1611,18.453608247422682,8,0.09163802978235967,8730,6912,81.2602868563367,1586,18.645661885727723,8,0.0940512579355749,8506,37,33,89.1891891891892,4,10.81081081081081,0,0.0,37,17,100.0,0,0.0,0,0.0,17,166,88.77005347593582,21,11.229946524064172,0,0.0,187,174,105,1,62.142857142857146,37.5,0.35714285714285715,280
2024-03-18,8730,7131,81.46921055638067,1614,18.439392208385698,8,0.09139723523363419,8753,6993,81.31395348837209,1599,18.593023255813954,8,0.09302325581395349,8600,25,19,76.0,6,24.0,0,0.0,25,1,50.0,1,50.0,0,0.0,2,119,92.96875,9,7.03125,0,0.0,128,172,105,1,61.87050359712231,37.76978417266187,0.3597122302158274,278
2024-03-25,8753,7156,81.49413506434347,1617,18.414759139050222,8,0.09110579660630908,8781,7113,81.4496736516661,1612,18.45871979846559,8,0.09160654986831558,8733,30,25,83.33333333333334,5,16.666666666666664,0,0.0,30,1,50.0,1,50.0,0,0.0,2,18,100.0,0,0.0,0,0.0,18,172,105,1,61.87050359712231,37.76978417266187,0.3597122302158274,278
2024-04-01,8781,7161,81.55107618722242,1612,18.35781801617128,8,0.09110579660630908,8781,6880,81.40085186938003,1564,18.504495977283483,8,0.09465215333648841,8452,23,20,86.95652173913044,3,13.043478260869565,0,0.0,23,19,82.6086956521739,4,17.391304347826086,0,0.0,23,261,85.29411764705883,45,14.705882352941178,0,0.0,306,174,109,1,61.267605633802816,38.38028169014084,0.35211267605633806,284
2024-04-08,8781,7165,81.51308304891923,1618,18.407281001137658,7,0.07963594994311718,8790,6853,81.4282319391635,1556,18.488593155893536,7,0.08317490494296577,8416,41,34,82.92682926829268,7,17.073170731707318,0,0.0,41,30,93.75,1,3.125,1,3.125,32,278,83.48348348348348,55,16.516516516516518,0,0.0,333,170,109,0,60.93189964157706,39.06810035842294,0.0,279
2024-04-15,8790,7160,81.49328477122695,1619,18.42704302299112,7,0.07967220578192578,8786,6960,81.39398900713367,1584,18.52414922231318,7,0.08186177055315168,8551,30,22,73.33333333333333,8,26.666666666666668,0,0.0,30,30,88.23529411764706,4,11.76470588235294,0,0.0,34,178,86.82926829268293,27,13.170731707317074,0,0.0,205,169,108,0,61.01083032490975,38.98916967509025,0.0,277
2024-04-22,8786,7171,81.5164260543367,1619,18.4040013641014,7,0.0795725815618961,8797,7006,81.52199208750291,1581,18.39655573656039,7,0.08145217593670002,8594,32,24,75.0,8,25.0,0,0.0,32,16,76.19047619047619,5,23.809523809523807,0,0.0,21,141,82.45614035087719,30,17.543859649122805,0,0.0,171,168,107,0,61.09090909090909,38.90909090909091,0.0,275
