"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0001410","0021441233","Piratel llc","10572 Calle Lee
Ste 123
Los Alamitos CA 90720","No","United States of America","None","None","None","Karl Douthit","President","Operations","10572 Calle Lee
Los Alamitos CA 90720","United States of America","5622573590","","Complete STIR/SHAKEN Implementation","Yes","Yes","Yes","2024-04-08","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=260669871b6f241002beea82f54bcb81&view=sp"
"RMD0001411","0018570812","UPSALA COOPERATIVE TELEPHONE ASSOCIATION","P O BOX 277
UPSALA MN 56384","No","United States of America","0003742715","Sytek","None","Diane Rohde","Customer Care & Billing Manager","Customer Care","117 Main Street
Upsala MN 56384","United States of America","320-573-1390","1221","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-09-24","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=09cfbd531babe41064c4426de54bcb06&view=sp"
"RMD0001412","0022139232","Ytel, Inc.","26632 Towne Centre Dr Suite 300
#300
Foothill Ranch CA 92610","No","United States of America","None","None","None","Brian Keep","COO","Carrier Services","26632 Towne Centre Dr Suite 300
#300
Foothill Ranch CA 92610","United States of America","8003824913","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-14","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a8db9e171bafe41064c4426de54bcb89&view=sp"
"RMD0001413","0023647860","R SQUARED TELECOM LLC","526 S. Main Street, Suite 80
Akron OH 44311","No","United States of America","None","None","None","Omar Luna","Chief Executive Officer","Executive Team","526 S. Main Street, Suite 80
Akron OH 44311","United States of America","832-506-0905","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4a84aedf1be3a4107ccf20ecac4bcb78&view=sp"
"RMD0001414","0022342109","Bluetone Communications, LLC","526 S Main Street
Suite 802
Akron OH 44311","No","United States of America","None","None","None","Rebecca Barkhuizen","VP of Ops","Operations","526 S Main Street
Akron OH 44311","United States of America","737-249-0449","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=eec7ae9b1bef64102eb2a82fe54bcb88&view=sp"
"RMD0001415","0024029514","Access Tandem Inc.","1810 E. Sahara Ave
Suite 430
Las Vegas NV 89104","No","United States of America","none","none","none","Jack S Kaplan","Compliance Officer","Administration","1810 E. Sahara Ave
Suite 430
Las Vegas NV 89104","United States of America","7252224881","","Complete STIR/SHAKEN Implementation","Yes","No","Yes","2024-10-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d53b265b1be7a41002beea82f54bcb27&view=sp"
"RMD0001416","0012167557","Barr Tell Usa, Inc.","218 East Park Ave.
Suite 522
Long Beach NY 11561","No","United States of America","None","None","None","Harold Barr","President","Legal","218 East Park Ave.
Suite 522
Long Beach NY 11561","United States of America","5167080111","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-01-24","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b06db2df1b63a4102eb2a82fe54bcb7b&view=sp"
"RMD0001417","0025628439","VoiceTerm Inc.","1712 Pioneer Avenue
STE 500
Cheyenne WY 82001","No","United States of America","None","None","None","Jack Kaplan","Compliance Officer","VoiceTerm Administration","1712 Pioneer Avenue
STE 500
Cheyenne WY 82001","United States of America","3078889181","","Complete STIR/SHAKEN Implementation","Yes","No","Yes","2024-10-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=aa6447df1b67a4109294113d9c4bcb91&view=sp"
"RMD0001419","0017253535","Peerless Network, Inc","433 W. Van Buren
Suite 410S
Chicago IL 60607","No","United States of America","none","none","none","Virginia Bodyfelt","Director, Regulatory Affairs","Regulatory Affairs","433 W. Van Buren Street Suite 410S
Chicago IL 60607","United States of America","3125060933","","Complete STIR/SHAKEN Implementation","Yes","Yes","Yes","2024-11-12","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f063bbeb1be7e4102eb2a82fe54bcbf1&view=sp"
"RMD0001420","0009034182","Airus, Inc.","433 W Van Buren
Suite 410S
Chicago Illinois 60607","No","United States of America","none","none","none","Virginia Bodyfelt","Director, Regulatory Affairs","Regulatory Affairs","433 W. Van Buren Street
Suite 410S
Chicago IL 60607","United States of America","3125060933","","Complete STIR/SHAKEN Implementation","Yes","Yes","Yes","2024-12-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e74573af1be7e4102eb2a82fe54bcb12&view=sp"
